id	file	mimetype	name	researchPhase	documentType	article	location	locationgeo	date																		
descr	file location	nom qui apparaît sur le site	indicates what the website shall do with the file [tei	 pdf	 htm	 csv	 link	 ref]	[prep	 col	 anal	 ese	 compl]	[admi	 audio	 docu	 icono	 inter	 methodo	 note	 publi	 revis	 transcr]			coordonnées GPS	DD/MM/YY
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal78_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal78_vi.xml	tei	Transcription de l'entretien avec Lucien Lanier	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2000-05-10																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal79_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal79_vi.xml	tei	Transcription de l'entretien avec Christian de La Malène	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2001-12-04																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal80_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal80_vi.xml	tei	Transcription de l'entretien avec Aymeri de Montesquiou	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2000-04-12																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal81_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal81_vi.xml	tei	Transcription de l'entretien avec Claude Saunier	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2001-11-28																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal82_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal82_vi.xml	tei	Transcription de l'entretien avec Jean-Marie Valerenberghe	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2003-03-04																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal83_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal83_vi.xml	tei	Transcription de l'entretien avec Xavier de Villepin	col	transcr	entretienindiv	Paris France	48.849298,2.33741	2002-11-15																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal89_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal89_vi.xml	tei	Transcription de l'entretien avec Elisabeth Guigou	col	transcr	entretienindiv	Paris France	48.854946,2.320334	2003-02-26																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal90_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal90_vi.xml	tei	Transcription de l'entretien avec Paulette Guinchard-Kunstler	col	transcr	entretienindiv	Paris France	48.854947,2.320335	2002-11-20																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal91_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal91_vi.xml	tei	Transcription de l'entretien avec François Huwart	col	transcr	entretienindiv	Paris France	48.854948,2.320336	2003-04-22																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal92_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal92_vi.xml	tei	Transcription de l'entretien avec Pierre Moscovici	col	transcr	entretienindiv	Paris France	48.854949,2.320337	2003-01-06																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal93_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal93_vi.xml	tei	Transcription de l'entretien avec Christian Paul	col	transcr	entretienindiv	Paris France	48.85495,2.320338	2003-02-03																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal94_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal94_vi.xml	tei	Transcription de l'entretien avec Christian Pierret	col	transcr	entretienindiv	Paris France	48.854951,2.320339	2003-03-25																		
